Date,Name,Type
2020-01-01,New Year's Day,Federal Holiday
2020-01-06,Epiphany,Christian
2020-01-07,Asarah B'Tevet,Jewish holiday
2020-01-07,Orthodox Christmas Day,Orthodox
2020-01-07,Estelle Reel Day,State Observance
2020-01-08,Battle of New Orleans,State Legal Holiday
2020-01-13,Stephen Foster Memorial Day,Observance
2020-01-14,Orthodox New Year,Orthodox
2020-01-17,Lee-Jackson Day,State Holiday
2020-01-19,Robert E. Lee's Birthday,State Legal Holiday
2020-01-19,State Holiday,State Observance
2020-01-19,Confederate Heroes' Day,State Holiday
2020-01-20,Martin Luther King Jr. Day,Federal Holiday
2020-01-20,Robert E. Lee's Birthday,State Holiday
2020-01-20,Idaho Human Rights Day,State Holiday
2020-01-20,Civil Rights Day,State Holiday
2020-01-25,Lunar New Year,Observance
2020-01-29,Kansas Day,State Observance
2020-01-01,National Freedom Day,Observance
2020-01-01,First Day of Black History Month,Annual Monthly Observance
2020-01-02,Groundhog Day,Observance
2020-01-02,Super Bowl,Sporting Event
2020-01-04,Rosa Parks Day,Local Observance
2020-01-04,Rosa Parks Day,State Observance
2020-01-05,National Girls and Women in Sports Day,Observance
2020-01-06,Ronald Reagan Day,State Observance
2020-01-07,National Wear Red Day,Observance
2020-01-10,Tu Bishvat/Tu B'Shevat,Jewish holiday
2020-01-12,Lincoln's Birthday,State Holiday
2020-01-12,Lincoln's Birthday,State Legal Holiday
2020-01-12,Georgia Day,State Observance
2020-01-14,Valentine's Day,Observance
2020-01-14,Statehood Day,Local Observance
2020-01-15,Susan B. Anthony's Birthday,State Observance
2020-01-16,Elizabeth Peratrovich Day,State Observance
2020-01-17,Presidents' Day,Federal Holiday
2020-01-17,Presidents' Day,State Holiday
2020-01-17,Presidents' Day,State Legal Holiday
2020-01-17,Daisy Gatson Bates Day,State Holiday
2020-01-21,Maha Shivaratri,Hindu Holiday
2020-01-25,African-American Scientist and Inventor Day,State Observance
2020-01-25,Shrove Tuesday/Mardi Gras,State Holiday
2020-01-25,Shrove Tuesday/Mardi Gras,"Observance, Christian"
2020-01-25,George Rogers Clark Day,State Observance
2020-01-26,Ash Wednesday,Christian
2020-01-28,Linus Pauling Day,Local Observance
2020-01-01,St. David's Day,"Observance, Christian"
2020-01-01,First Day of Women's History Month,Annual Monthly Observance
2020-01-01,First Day of Irish American Heritage Month,Annual Monthly Observance
2020-01-02,Texas Independence Day,State Holiday
2020-01-02,Casimir Pulaski Day,State Observance
2020-01-02,Read Across America Day,Observance
2020-01-03,Super Tuesday,Observance
2020-01-03,Town Meeting Day,State Holiday
2020-01-04,Casimir Pulaski Day,State Observance
2020-01-06,Employee Appreciation Day,Observance
2020-01-08,Daylight Saving Time starts,Clock Change/Daylight Saving Time
2020-01-09,Holi,Hindu Holiday
2020-01-10,Purim,Jewish holiday
2020-01-17,St. Patrick's Day,"Observance, Christian"
2020-01-17,Evacuation Day,State Holiday
2020-01-19,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-19,March Equinox,Season
2020-01-20,First Day of Stay at Home Directive,COVID-19 Lockdown
2020-01-21,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-22,Isra and Mi'raj,Muslim
2020-01-22,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-23,"First Day of Stay Safe, Stay Home Order",COVID-19 Lockdown
2020-01-24,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-25,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-25,Maryland Day,State Observance
2020-01-26,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-26,Prince Jonah Kuhio Kalanianaole Day,State Holiday
2020-01-27,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-28,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-29,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-29,National Vietnam War Veterans Day,Observance
2020-01-30,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-30,Wyoming Veterans Welcome Home Day,State Observance
2020-01-30,Doctors' Day,Observance
2020-01-30,Seward's Day,State Holiday
2020-01-30,Vietnam Veterans Day,State Observance
2020-01-31,First Day of Stay at Home Order,COVID-19 Lockdown
2020-01-31,César Chávez Day,State Holiday
2020-04-01,First Day of Stay at Home Order,COVID-19 Lockdown
2020-04-02,First Day of Stay at Home Order,COVID-19 Lockdown
2020-04-02,Pascua Florida Day,Local Observance
2020-04-03,First Day of Stay at Home Order,COVID-19 Lockdown
2020-04-04,First Day of Stay at Home Order,COVID-19 Lockdown
2020-04-05,Palm Sunday,Christian
2020-04-06,First Day of Stay at Home Order,COVID-19 Lockdown
2020-04-06,National Tartan Day,Observance
2020-04-07,First Day of Stay at Home Order,COVID-19 Lockdown
2020-04-08,Passover Eve,Jewish holiday
2020-04-09,Maundy Thursday,Christian
2020-04-09,Passover (first day),Jewish holiday
2020-04-09,National Former Prisoner of War Recognition Day,Observance
2020-04-10,Good Friday,State Holiday
2020-04-10,State Holiday,State Holiday
2020-04-11,Holy Saturday,Christian
2020-04-12,Easter Sunday,"Observance, Christian"
2020-04-13,Easter Monday,"Observance, Christian"
2020-04-13,Thomas Jefferson's Birthday,Observance
2020-04-15,Father Damien Day,Local Observance
2020-04-16,Last Day of Passover,Jewish holiday
2020-04-16,Emancipation Day,State Holiday
2020-04-17,Orthodox Good Friday,Orthodox
2020-04-17,Arbor Day,State Observance
2020-04-18,Orthodox Holy Saturday,Orthodox
2020-04-19,Orthodox Easter,Orthodox
2020-04-20,Orthodox Easter Monday,Orthodox
2020-04-20,Patriots' Day,State Holiday
2020-04-21,Yom HaShoah,Jewish commemoration
2020-04-21,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-04-21,San Jacinto Day,State Holiday
2020-04-21,National Library Workers' Day,Observance
2020-04-22,Oklahoma Day,Local Observance
2020-04-22,Administrative Professionals Day,Observance
2020-04-23,Take our Daughters and Sons to Work Day,Observance
2020-04-24,Ramadan Starts,Muslim
2020-04-24,Last Day of Stay at Home Directive,COVID-19 Lockdown
2020-04-24,Arbor Day,State Holiday
2020-04-24,Arbor Day,State Observance
2020-04-26,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-04-26,Confederate Memorial Day,State Legal Holiday
2020-04-26,State Holiday,State Observance
2020-04-27,Arbor Day,State Observance
2020-04-27,Confederate Memorial Day,State Holiday
2020-04-27,Confederate Memorial Day observed,State Legal Holiday
2020-04-29,Yom Ha'atzmaut,Jewish holiday
2020-04-30,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-01-01,Last Day of Stay at Home Directive,COVID-19 Lockdown
2020-01-01,Kentucky Oaks,Sporting Event
2020-01-01,Law Day,Observance
2020-01-01,Loyalty Day,Observance
2020-01-01,Lei Day,Local Observance
2020-01-01,First Day of Military Appreciation Month,Annual Monthly Observance
2020-01-01,First Day of Asian Pacific American Heritage Month,Annual Monthly Observance
2020-01-01,First Day of Jewish American Heritage Month,Annual Monthly Observance
2020-01-02,National Explosive Ordnance Disposal (EOD) Day,Observance
2020-01-03,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-01-04,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-01-04,Kent State Shootings Remembrance,Local Observance
2020-01-04,Rhode Island Independence Day,State Observance
2020-01-05,Cinco de Mayo,Observance
2020-01-05,National Teacher Appreciation Day,Observance
2020-01-06,National Nurses Day,Observance
2020-01-07,National Day of Prayer,Observance
2020-01-07,West Virginia Day of Prayer,State Observance
2020-01-08,Last Day of Stay at Home Order,COVID-19 Lockdown
2020-01-08,Truman Day,State Holiday
2020-01-08,Victory in Europe Day,Observance
2020-01-08,Native American Day,State Observance
2020-01-08,Military Spouse Appreciation Day,State Observance
2020-01-08,Military Spouse Appreciation Day,Observance
2020-01-10,Mother's Day,Observance
2020-01-10,Mother's Day,State Holiday
2020-01-10,Confederate Memorial Day,State Holiday
